Year,State,Species,,Total catch PSE (proportional standard error),Total effort by number of directed trips,Total effort PSE,CPUE (which is catch/effort)
2011,Georgia,BLUEFISH,17086,51.2,12541,48.8,1.3624
1995,Maryland,SUMMER FLOUNDER,82889,58.5,33753,48.8,2.4558
2006,New Hampshire,WINTER FLOUNDER,11997,70.7,"2,204",48.8,5.4433
1995,Rhode Island,WINTER FLOUNDER,6668,53.7,"9,576",48.8,0.6963
1985,North Carolina,COBIA,10234,78,"104,499",48.7,0.0979
1987,Connecticut,WINTER FLOUNDER,95039,53.6,"14,535",48.7,6.5386
2009,North Carolina,YELLOWFIN TUNA,37539,26.1,63104,48.7,0.5949
1993,Massachusetts,Black Sea Bass,10468,38.8,"15,220",48.7,0.6878
2007,Virginia,COBIA,2886,80.5,"19,210",48.6,0.1502
2020,New Hampshire,WINTER FLOUNDER,2388,42.9,"4,118",48.6,0.5799
1987,New Jersey,WINTER FLOUNDER,73526,567,39799,48.5,1.8474
2001,Virginia,YELLOWFIN TUNA,74297,53.4,26299,48.4,2.8251
1992,Virginia,BLUEFISH,160185,47.7,69959,48.3,2.2897
2004,South Carolina,SUMMER FLOUNDER,126331,54.6,89749,48.3,1.4076
1999,New Jersey,YELLOWFIN TUNA,189387,293,86624,48.3,2.1863
2008,Virginia,YELLOWFIN TUNA,4791,52.2,7861,48.3,0.6095
1992,New York,YELLOWFIN TUNA,16925,49.3,17256,48.3,0.9808
2002,Georgia,Black Sea Bass,265833,39.7,"38,504",48.3,6.904
1991,Virginia,COBIA,7956,43.8,"9,452",48.2,0.8417
2009,New Hampshire,WINTER FLOUNDER,19123,66.7,"6,161",48.2,3.1039
2003,Maryland,SUMMER FLOUNDER,17614,41.1,26233,48.1,0.6714
2004,New Hampshire,WINTER FLOUNDER,1453,54.5,"2,070",48.1,0.7019
2005,Virginia,BLACK SEA BASS,476097,51.6,"100,671",48.1,4.7292
2016,Connecticut,SUMMER FLOUNDER,286025,36.7,75722,48,3.7773
1999,South Carolina,SUMMER FLOUNDER,3469,74.3,21542,48,0.161
1997,New York,Black Sea Bass,279841,59.6,"40,016",48,6.9932
2012,South Carolina,COBIA,12029,87.9,"23,479",47.9,0.5123
2003,New York,YELLOWFIN TUNA,73748,44.7,74949,47.9,0.984
2007,Massachusetts,Black Sea Bass,125914,49.5,"39,682",47.8,3.1731
1990,South Carolina,Black Sea Bass,130990,41.6,"57,384",47.8,2.2827
2001,South Carolina,YELLOWFIN TUNA,2958,59.9,10315,47.7,0.2868
2016,Maryland,BLUEFISH,26168,48.9,32461,47.5,0.8061
2007,South Carolina,COBIA,40874,81,"24,096",47.5,1.6963
1998,New Jersey,WINTER FLOUNDER,239,100,19672,47.5,0.0121
1988,New Jersey,YELLOWFIN TUNA,4968,719,98726,47.5,0.0503
2003,Rhode Island,ATLANTIC MACKEREL,59313,74.5,"20,253",47.4,2.9286
1989,Virginia,WINTER FLOUNDER,2615,66.7,5663,47.3,0.4618
1988,South Carolina,YELLOWFIN TUNA,288,60.4,507,47.3,0.568
2005,Massachusetts,Black Sea Bass,149712,70.9,"50,345",47.3,2.9737
1983,Maryland,ATLANTIC MACKEREL,685593,39.9,41812,47.2,16.397
1984,New York,SUMMER FLOUNDER,262897,59.3,113376,47.2,2.3188
2001,New Hampshire,WINTER FLOUNDER,19097,62.2,"7,037",47.1,2.7138
2011,New Jersey,YELLOWFIN TUNA,17805,537,29352,47.1,0.6066
2022,South Carolina,COBIA,37951,42.3,"28,406",47,1.336
2015,New Jersey,YELLOWFIN TUNA,35555,746,18484,47,1.9236
1996,New York,YELLOWFIN TUNA,60413,95.4,102206,47,0.5911
2011,SOUTH CAROLINA,FLORIDA POMPANO,1247264,54.9,271015,47,4.6022
2016,Delaware,BLUEFISH,193880,41.5,78158,46.9,2.4806
1993,Georgia,BLUEFISH,11959,41.6,7570,46.9,1.5798
1988,Massachussets,YELLOWFIN TUNA,4106,102.9,3050,46.9,1.3462
2004,Virginia,BLACK SEA BASS,142868,44.9,"50,326",46.9,2.8389
1997,New Jersey,WINTER FLOUNDER,108844,492,71191,46.8,1.5289
1997,Virginia,YELLOWFIN TUNA,115917,81.9,40000,46.8,2.8979
1999,Georgia,Black Sea Bass,24428,58,"3,210",46.7,7.61
1990,Virginia,BLACK SEA BASS,1184994,24.4,"103,086",46.7,11.4952
2021,North Carolina,SUMMER FLOUNDER,7600,47.7,6708,46.6,1.133
2017,Virginia,YELLOWFIN TUNA,6217,76,3535,46.6,1.7587
2018,Georgia,BLUEFISH,237992,37.6,86541,46.5,2.75
1993,Rhode Island,WINTER FLOUNDER,18751,55.6,"15,578",46.5,1.2037
1992,Maryland,YELLOWFIN TUNA,2555,54.3,6527,46.5,0.3915
2008,Maryland,BLACK SEA BASS,123037,21.8,"36,307",46.5,3.3888
2016,Connecticut,BLUEFISH,198808,67.5,41942,46.4,4.7401
1996,Rhode Island,ATLANTIC MACKEREL,11115,80.1,"1,159",46.3,9.5902
1992,Delaware,SUMMER FLOUNDER,69478,46.6,12396,46.3,5.6049
2003,New Hampshire,WINTER FLOUNDER,8968,56.6,"9,028",46.3,0.9934
2014,Massachusetts,SUMMER FLOUNDER,158664,57.2,60499,46.2,2.6226
1986,New Jersey,WINTER FLOUNDER,7192,817,51926,46.2,0.1385
2006,Massachusetts,WINTER FLOUNDER,39947,80.2,"28,027",46.2,1.4253
1996,Delaware,YELLOWFIN TUNA,4998,59.9,6688,46.2,0.7473
2012,Georgia,BLUEFISH,66345,40.8,3957,46.1,16.7665
2019,Massachusetts,WINTER FLOUNDER,13546,36.7,"36,369",46.1,0.3725
2000,Georgia,BLUEFISH,166284,44.6,76081,46,2.1856
2001,New York,YELLOWFIN TUNA,66616,40,75120,46,0.8868
2015,Virginia,BLACK SEA BASS,102523,63.2,"29,514",46,3.4737
2015,Connecticut,BLUEFISH,17093,58,11336,45.9,1.5079
2004,Maryland,BLUEFISH,130841,43.1,43712,45.9,2.9933
2015,Maryland,BLUEFISH,238295,62.5,51956,45.9,4.5865
1984,New York,YELLOWFIN TUNA,8183,64.5,79238,45.9,0.1033
2022,New York,YELLOWFIN TUNA,24894,40.9,67311,45.9,0.3698
2007,Delaware,YELLOWFIN TUNA,276,41.6,998,45.8,0.2766
1990,Maryland,SUMMER FLOUNDER,123594,62.5,54944,45.7,2.2495
2015,Virginia,SUMMER FLOUNDER,285489,60.2,101520,45.7,2.8121
1994,SOUTH CAROLINA,FLORIDA POMPANO,48958,46.9,46225,45.7,1.0591
2004,New York,WINTER FLOUNDER,124148,61.6,"74,907",45.6,1.6574
2000,Rhode Island,YELLOWFIN TUNA,4904,55.6,6509,45.6,0.7534
1982,Massachusetts,Black Sea Bass,314699,48.7,"111,100",45.6,2.8326
2016,Connecticut,Black Sea Bass,483988,42.4,"70,235",45.6,6.891
2003,Maryland,YELLOWFIN TUNA,102444,39.8,75223,45.5,1.3619
2001,New York,WINTER FLOUNDER,27179,57.6,"57,528",45.4,0.4724
1987,New Jersey,YELLOWFIN TUNA,115810,585,113595,45.4,1.0195
1998,New York,Black Sea Bass,110462,80,"39,008",45.4,2.8318
2006,Maryland,BLACK SEA BASS,219315,18.6,"30,373",45.4,7.2207
2016,Virginia,YELLOWFIN TUNA,24522,56.8,14630,45.3,1.6761
1995,Massachussets,YELLOWFIN TUNA,7984,61,5751,45.2,1.3883
1996,Massachusetts,Black Sea Bass,20891,62.2,"4,679",45.2,4.4648
1997,New Jersey,ATLANTIC MACKEREL,1246184,415,29999,45.1,41.5409
1991,Connecticut,BLUEFISH,11316,41.2,2157,45.1,5.2462
1990,North Carolina,COBIA,8141,27.9,"42,695",45.1,0.1907
2002,Maryland,YELLOWFIN TUNA,46909,47.2,36978,45.1,1.2686
2000,New Jersey,YELLOWFIN TUNA,154223,435,76194,45.1,2.0241
1993,South Carolina,YELLOWFIN TUNA,6117,55.1,9741,45.1,0.628
2003,Delaware,YELLOWFIN TUNA,4699,61.1,8302,45,0.566
2021,Maryland,YELLOWFIN TUNA,50918,40,51836,45,0.9823
1983,North Carolina,YELLOWFIN TUNA,17153,70.3,11435,45,1.5
2013,GEORGIA,FLORIDA POMPANO,6267,58.5,8032,45,0.7803
2015,Connecticut,SUMMER FLOUNDER,43370,67.5,9722,44.8,4.461
1994,Delaware,YELLOWFIN TUNA,7786,54.8,10302,44.8,0.7558
1982,New York,Black Sea Bass,28134,81.3,"7,953",44.8,3.5375
1999,Maryland,ATLANTIC MACKEREL,50724,73.8,4978,44.7,10.1896
2005,Massachusetts,ATLANTIC MACKEREL,2110969,47.8,"142,111",44.7,14.8544
2012,Massachusetts,SUMMER FLOUNDER,52708,56.5,45410,44.6,1.1607
1995,Maryland,ATLANTIC MACKEREL,6715,64.6,7723,44.5,0.8695
2019,New Hampshire,WINTER FLOUNDER,6600,61,"5,015",44.4,1.3161
1988,Virginia,BLACK SEA BASS,780084,38.4,"100,414",44.4,7.7687
2019,Virginia,BLACK SEA BASS,408888,32.3,"30,672",44.4,13.331
1986,Rhode Island,WINTER FLOUNDER,422328,35.8,"233,905",44.3,1.8056
2004,Delaware,YELLOWFIN TUNA,531,54.2,862,44.3,0.616
2012,Massachusetts,Black Sea Bass,501086,74,"34,580",44.3,14.4906
2010,Georgia,Black Sea Bass,369309,44.1,"63,468",44.3,5.8188
2014,Georgia,BLUEFISH,164425,45.1,46405,44.2,3.5433
2014,Maine,BLUEFISH,592,101.6,32121,44.2,0.0184
2017,Massachusetts,WINTER FLOUNDER,94907,53.8,"27,809",44.2,3.4128
1985,Massachusetts,Black Sea Bass,18592,45.7,"18,699",44.2,0.9943
1996,Maryland,SUMMER FLOUNDER,125310,61.9,65872,44.1,1.9023
2018,New Hampshire,WINTER FLOUNDER,11282,42.5,"8,168",44.1,1.3812
2014,Maryland,YELLOWFIN TUNA,21269,53.2,23346,44.1,0.911
2018,North Carolina,SUMMER FLOUNDER,17367,41.6,17349,44,1.001
2015,New Hampshire,WINTER FLOUNDER,7643,51.9,"8,642",44,0.8844
2003,Rhode Island,YELLOWFIN TUNA,22097,83.9,7516,44,2.94
1984,New York,Black Sea Bass,120967,47.1,"62,350",44,1.9401
2019,Virginia,BLUEFISH,1158988,37.6,184892,43.9,6.2685
1995,New Jersey,WINTER FLOUNDER,236606,704,40264,43.9,5.8764
1995,New York,Black Sea Bass,112008,47.7,"40,009",43.9,2.7996
1989,Virginia,COBIA,2124,59.9,"3,119",43.8,0.681
2002,Massachusetts,WINTER FLOUNDER,56511,44.3,"55,160",43.8,1.0245
1985,Connecticut,WINTER FLOUNDER,59454,75,"17,809",43.8,3.3384
2015,Delaware,YELLOWFIN TUNA,5522,79.3,6053,43.8,0.9123
2011,Virginia,YELLOWFIN TUNA,14569,66.1,38575,43.8,0.3777
2002,Virginia,COBIA,2563,90.8,"15,720",43.6,0.163
1985,Maryland,SUMMER FLOUNDER,19090,55.1,7566,43.6,2.5231
2003,Virginia,YELLOWFIN TUNA,11347,52.3,21735,43.6,0.5221
2015,Maryland,BLACK SEA BASS,270111,13.3,"23,696",43.6,11.399
1988,SOUTH CAROLINA,FLORIDA POMPANO,226097,35.5,133241,43.6,1.6969
2011,Delaware,BLUEFISH,231061,50.6,110667,43.5,2.0879
1999,Georgia,BLUEFISH,76850,42.7,31182,43.5,2.4646
2008,Maryland,BLUEFISH,383392,52.1,132472,43.5,2.8941
1991,New York,YELLOWFIN TUNA,71452,56.3,36765,43.5,1.9435
1991,South Carolina,Black Sea Bass,350132,68.6,"61,316",43.5,5.7103
2003,Delaware,ATLANTIC MACKEREL,172,86.6,130,43.4,1.3231
2000,Virginia,YELLOWFIN TUNA,7646,54.6,16653,43.4,0.4591
1985,New York,Black Sea Bass,387022,38.4,"85,142",43.4,4.5456
2015,GEORGIA,FLORIDA POMPANO,80203,54,30126,43.4,2.6623
2016,Virginia,BLUEFISH,196529,45.3,133149,43.3,1.476
2018,Georgia,COBIA,17727,66.7,"12,853",43.3,1.3792
2000,Maryland,SUMMER FLOUNDER,398085,62.4,96885,43.3,4.1088
1983,New Jersey,BLACK SEA BASS,2785305,259,"262,996",43.3,10.5907
2021,Virginia,BLUEFISH,271061,47.6,60233,43.2,4.5002
2022,Massachusetts,WINTER FLOUNDER,10988,52.5,"11,854",43.2,0.9269
2022,Delaware,YELLOWFIN TUNA,13938,70.7,4723,43.2,2.9511
2009,Virginia,YELLOWFIN TUNA,469,79.8,1967,43.2,0.2384
2022,Georgia,Black Sea Bass,1091846,54.9,"93,746",43.2,11.6469
2011,Maryland,BLACK SEA BASS,381592,33,"65,807",43.2,5.7987
2022,Connecticut,SUMMER FLOUNDER,115586,34.2,43680,43,2.6462
1986,Massachusetts,WINTER FLOUNDER,615823,33.5,"468,826",43,1.3135
1993,New Jersey,YELLOWFIN TUNA,24114,675,83517,43,0.2887
2010,Virginia,BLACK SEA BASS,63041,31,"16,224",43,3.8857
2005,Virginia,BLUEFISH,711145,40.5,193322,42.9,3.6786
1982,Georgia,COBIA,754,64.7,"5,452",42.9,0.1383
1991,Georgia,Black Sea Bass,94561,36.6,"21,395",42.9,4.4198
1982,Maryland,BLUEFISH,868473,53.3,419417,42.7,2.0707
1982,Rhode Island,SUMMER FLOUNDER,559122,42.1,169114,42.7,3.3062
2014,Massachusetts,Black Sea Bass,598215,52.4,"78,671",42.7,7.604
2021,Rhode Island,ATLANTIC MACKEREL,2728,42,"2,250",42.6,1.2124
1990,Virginia,BLUEFISH,108375,47.3,50918,42.6,2.1284
2016,Maryland,SUMMER FLOUNDER,96232,52.6,41254,42.6,2.3327
1992,New Jersey,YELLOWFIN TUNA,22289,563,29227,42.6,0.7626
2012,SOUTH CAROLINA,FLORIDA POMPANO,246476,39.2,157878,42.6,1.5612
2001,Maryland,BLUEFISH,171284,60.4,92774,42.5,1.8463
1986,New Hampshire,ATLANTIC MACKEREL,63080,55.7,"13,687",42.4,4.6088
1983,South Carolina,BLUEFISH,576045,43.4,375065,42.4,1.5359
2018,New Jersey,WINTER FLOUNDER,13012,575,12207,42.4,1.0659
2019,Virginia,YELLOWFIN TUNA,9351,45.6,15933,42.4,0.5869
1983,Connecticut,BLUEFISH,32521,47.1,14169,42.3,2.2952
1999,Maryland,BLACK SEA BASS,493395,39.1,"88,003",42.3,5.6066
2018,DELAWARE,FLORIDA POMPANO,10339,50.5,7426,42.3,1.3923
1988,Virginia,WINTER FLOUNDER,5686,91.5,58757,42.2,0.0968
1996,New Hampshire,WINTER FLOUNDER,7999,63.5,"5,328",42.2,1.5013
2014,New Hampshire,WINTER FLOUNDER,5935,43,"12,370",42.1,0.4798
2004,New Jersey,YELLOWFIN TUNA,19515,302,28686,42.1,0.6803
2004,Virginia,YELLOWFIN TUNA,8723,37.7,9670,42.1,0.9021
2022,Maryland,YELLOWFIN TUNA,51387,44.8,22155,42,2.3194
1997,Massachusetts,Black Sea Bass,17480,41.1,"10,420",42,1.6775
2017,Maryland,YELLOWFIN TUNA,122726,70.8,53490,41.9,2.2944
2021,New Jersey,YELLOWFIN TUNA,135176,522,156870,41.9,0.8617
2013,New Hampshire,BLUEFISH,122,97.7,11705,41.8,0.0104
2016,Virginia,SUMMER FLOUNDER,34966,37.7,26044,41.8,1.3426
2008,New Jersey,YELLOWFIN TUNA,10622,559,4435,41.8,2.395
2008,Virginia,COBIA,974,59.5,"2,657",41.7,0.3666
2017,New Jersey,YELLOWFIN TUNA,36913,578,59224,41.7,0.6233
2020,New Jersey,YELLOWFIN TUNA,146261,487,145346,41.7,1.0063
2015,North Carolina,ATLANTIC MACKEREL,5851,839,820,41.6,7.1354
1992,Maryland,BLUEFISH,104803,34.5,75880,41.6,1.3812
1998,Maryland,SUMMER FLOUNDER,110045,41.7,100921,41.6,1.0904
1990,Virginia,SUMMER FLOUNDER,294512,25.4,112182,41.6,2.6253
2010,Virginia,SUMMER FLOUNDER,193756,40.1,127687,41.6,1.5174
1999,SOUTH CAROLINA,FLORIDA POMPANO,297551,45.5,114312,41.6,2.603
2011,Maryland,BLUEFISH,58157,54.7,66723,41.5,0.8716
2014,New Hampshire,BLUEFISH,10293,82.4,4311,41.5,2.3876
1984,Delaware,SUMMER FLOUNDER,499071,20,340089,41.5,1.4675
1996,New Jersey,WINTER FLOUNDER,22276,492,35664,41.5,0.6246
2007,Virginia,YELLOWFIN TUNA,5530,39.9,10272,41.5,0.5384
1988,North Carolina,YELLOWFIN TUNA,27920,27.5,38024,41.4,0.7343
1991,Maryland,BLACK SEA BASS,1055493,28.7,"98,115",41.4,10.7577
2011,Virginia,BLACK SEA BASS,115562,39.4,"18,298",41.4,6.3156
2022,Maine,BLUEFISH,8423,54.8,8952,41.3,0.9409
2021,Massachusetts,SUMMER FLOUNDER,95516,29.4,69192,41.2,1.3804
1987,SOUTH CAROLINA,FLORIDA POMPANO,401613,53,188422,41.2,2.1315
1984,Connecticut,SUMMER FLOUNDER,91561,57.4,29350,41.1,3.1196
2014,Massachusetts,WINTER FLOUNDER,135827,43.5,"61,964",41.1,2.192
2001,New Jersey,YELLOWFIN TUNA,55238,615,59760,41.1,0.9243
2010,SOUTH CAROLINA,FLORIDA POMPANO,26654,44,26551,41.1,1.0039
2016,New Jersey,BLUEFISH,3645656,37,1294189,41,2.8169
1984,Maryland,SUMMER FLOUNDER,84256,38.7,69763,41,1.2077
1987,Massachusetts,SUMMER FLOUNDER,478094,49.2,111330,41,4.2944
1991,New Hampshire,WINTER FLOUNDER,8037,59.7,"11,060",41,0.7267
2018,Maryland,BLACK SEA BASS,349689,35,"26,029",41,13.4346
2021,GEORGIA,FLORIDA POMPANO,45226,40.9,31597,41,1.4313
2021,Connecticut,SUMMER FLOUNDER,464743,32.9,103881,40.9,4.4738
2018,Maryland,SUMMER FLOUNDER,265093,51.4,83316,40.9,3.1818
1986,Virginia,YELLOWFIN TUNA,29196,43.3,24100,40.9,1.2115
1984,Maryland,ATLANTIC MACKEREL,140408,83.6,10944,40.8,12.8297
1986,North Carolina,BLACK SEA BASS,335882,45.4,"35,268",40.8,9.5237
1990,Rhode Island,SUMMER FLOUNDER,64975,29.6,131389,40.7,0.4945
2001,Georgia,BLUEFISH,34783,50.8,14983,40.6,2.3215
1999,Virginia,COBIA,7398,55,"24,456",40.6,0.3025
2018,Massachusetts,WINTER FLOUNDER,110676,27.6,"59,081",40.6,1.8733
2002,Virginia,YELLOWFIN TUNA,6472,54.3,13459,40.6,0.4809
2011,Massachusetts,Black Sea Bass,221588,40.4,"44,340",40.6,4.9975
2002,SOUTH CAROLINA,FLORIDA POMPANO,200990,50,57428,40.6,3.4999
1991,South Carolina,BLUEFISH,108615,48,130656,40.5,0.8313
1998,Virginia,COBIA,4077,66.4,"8,232",40.5,0.4953
2011,New Hampshire,WINTER FLOUNDER,5219,65.3,"7,642",40.5,0.6829
2018,South Carolina,COBIA,63224,40.5,"65,743",40.4,0.9617
1996,South Carolina,SUMMER FLOUNDER,13700,40,25611,40.4,0.5349
1996,Maryland,BLUEFISH,249855,38.8,235884,40.3,1.0592
2010,Maryland,BLUEFISH,209408,50.8,86083,40.3,2.4326
2008,Maine,BLUEFISH,212167,46.6,313925,40.2,0.6759
1991,Virginia,BLUEFISH,1078627,46.1,290193,40.2,3.7169
1987,Maryland,SUMMER FLOUNDER,424054,44.9,78087,40.2,5.4305
2016,Massachusetts,WINTER FLOUNDER,214413,87.6,"19,686",40.2,10.8916
2016,Virginia,BLACK SEA BASS,174045,43.4,"21,069",40.2,8.2607
1998,Connecticut,BLUEFISH,11011,44.5,10566,40.1,1.0421
2001,Maryland,YELLOWFIN TUNA,81603,53.1,63063,40.1,1.294
1993,Maine,ATLANTIC MACKEREL,558696,28.9,"245,479",40,2.2759
1993,New Jersey,WINTER FLOUNDER,124984,412,193411,40,0.6462
2008,Massachusetts,Black Sea Bass,97499,44.2,"19,211",40,5.0752
1985,Maryland,BLACK SEA BASS,48290,45.4,"8,642",40,5.5878
2013,South Carolina,COBIA,5034,48.1,"34,783",39.9,0.1447
1998,Virginia,YELLOWFIN TUNA,39257,39.4,39696,39.9,0.9889
2012,Georgia,Black Sea Bass,353298,36.6,"57,919",39.9,6.0999
1991,Virginia,BLACK SEA BASS,1799649,34.3,"104,541",39.9,17.2148
2007,Massachusetts,SUMMER FLOUNDER,79954,69.7,48367,39.8,1.6531
2001,SOUTH CAROLINA,FLORIDA POMPANO,229245,36.4,177642,39.8,1.2905
1992,Massachusetts,ATLANTIC MACKEREL,483314,29.8,"113,986",39.7,4.2401
2019,Massachusetts,SUMMER FLOUNDER,51104,34.8,40814,39.7,1.2521
1994,New York,WINTER FLOUNDER,15646,52.5,"18,608",39.7,0.8408
1992,Virginia,YELLOWFIN TUNA,4109,44.3,19771,39.7,0.2078
1992,South Carolina,Black Sea Bass,269018,41.7,"44,593",39.7,6.0327
1983,New York,BLUEFISH,477064,33.2,159018,39.6,3.0001
1993,New York,BLUEFISH,1181315,13.6,159018,39.6,7.4288
1986,Maryland,SUMMER FLOUNDER,71503,65.7,35594,39.6,2.0088
1994,Rhode Island,WINTER FLOUNDER,8307,46.1,"5,468",39.6,1.5192
2001,Massachusetts,Black Sea Bass,27395,34.9,"22,039",39.6,1.243
2013,Virginia,BLUEFISH,260559,32.1,123711,39.5,2.1062
2017,Virginia,BLUEFISH,135105,55.9,58954,39.5,2.2917
1982,New Jersey,ATLANTIC MACKEREL,755329,659,36750,39.4,20.5532
2021,Connecticut,BLUEFISH,86765,54.7,46719,39.4,1.8572
2016,Georgia,BLUEFISH,39071,54,15989,39.4,2.4436
2011,Massachusetts,SUMMER FLOUNDER,163496,60.4,54267,39.4,3.0128
1991,Rhode Island,WINTER FLOUNDER,19639,44.7,"26,099",39.4,0.7525
1993,Virginia,YELLOWFIN TUNA,12085,59.8,17580,39.4,0.6874
1989,Rhode Island,Black Sea Bass,66083,43,"35,686",39.4,1.8518
1999,Delaware,BLUEFISH,787469,42.7,251821,39.3,3.1271
1991,Massachusetts,SUMMER FLOUNDER,18474,34.6,25799,39.3,0.7161
1995,Maryland,BLUEFISH,79317,31,63077,39.2,1.2575
2016,New Jersey,YELLOWFIN TUNA,48416,566,38747,39.2,1.2495
2020,New York,YELLOWFIN TUNA,110898,56.5,67856,39.2,1.6343
1994,Maryland,ATLANTIC MACKEREL,20177,59.8,3934,39.1,5.1289
1992,Georgia,BLUEFISH,12592,46.2,4042,39.1,3.1153
2009,Maryland,BLUEFISH,202205,48.6,116085,39.1,1.7419
2019,Maryland,BLUEFISH,27000,30.2,21927,39.1,1.2314
2020,Georgia,COBIA,17294,44.5,"20,279",39.1,0.8528
2014,Virginia,SUMMER FLOUNDER,351663,31.1,174116,39,2.0197
1994,Maryland,BLUEFISH,50973,41.1,41194,38.9,1.2374
2005,Maryland,BLUEFISH,342388,41.3,173076,38.9,1.9783
2016,North Carolina,SUMMER FLOUNDER,33976,40.4,33536,38.9,1.0131
1981,New York,WINTER FLOUNDER,246184,54.7,"130,496",38.9,1.8865
2000,Delaware,YELLOWFIN TUNA,10960,48.3,11341,38.8,0.9664
2009,Virginia,BLUEFISH,103783,53.2,55305,38.7,1.8766
2021,South Carolina,COBIA,41219,37.9,"66,655",38.7,0.6184
2002,New York,WINTER FLOUNDER,21422,96.5,"49,011",38.7,0.4371
2015,New York,YELLOWFIN TUNA,122247,55.4,68615,38.7,1.7816
1988,Maryland,BLACK SEA BASS,1236674,35.2,"163,666",38.7,7.5561
2009,Maryland,BLACK SEA BASS,411092,23,"46,267",38.7,8.8852
2015,Maine,BLUEFISH,1229,101.4,35498,38.6,0.0346
2004,New Jersey,WINTER FLOUNDER,45023,475,83119,38.6,0.5417
2000,Rhode Island,WINTER FLOUNDER,26407,42.5,"33,539",38.6,0.7874
1982,Massachusetts,ATLANTIC MACKEREL,38350,80.6,"20,721",38.5,1.8508
2021,Georgia,BLUEFISH,72254,42.9,40891,38.4,1.767
1992,Virginia,SUMMER FLOUNDER,293340,25.3,106577,38.4,2.7524
2003,Virginia,SUMMER FLOUNDER,233287,31.1,92353,38.4,2.526
1981,Connecticut,WINTER FLOUNDER,86059,70.9,"21,365",38.4,4.028
2014,SOUTH CAROLINA,FLORIDA POMPANO,1152413,36.5,383518,38.4,3.0048
2004,South Carolina,BLUEFISH,1680277,30,480833,38.3,3.4945
1990,Delaware,YELLOWFIN TUNA,7155,39.8,6551,38.3,1.0922
2012,Maryland,BLACK SEA BASS,813643,55.4,"86,837",38.3,9.3698
2021,New York,BLUEFISH,403647,25.4,400623,38.2,1.0075
1986,Virginia,SUMMER FLOUNDER,138660,31.3,98055,38.2,1.4141
1992,Virginia,ATLANTIC MACKEREL,58548,74.1,4450,38.1,13.1569
1989,Rhode Island,ATLANTIC MACKEREL,478000,74.7,"31,577",38.1,15.1376
1985,Georgia,BLUEFISH,48345,49.7,19119,38.1,2.5286
2004,Virginia,SUMMER FLOUNDER,963251,43.6,157419,38.1,6.119
2003,South Carolina,Black Sea Bass,365960,34.9,"101,394",38.1,3.6093
1982,Delaware,BLACK SEA BASS,105435,35.5,"35,073",38.1,3.0062
1984,New Jersey,BLACK SEA BASS,422780,426,"210,996",38.1,2.0037
1991,Massachusetts,Black Sea Bass,5396,47.8,"3,978",38,1.3565
2009,Maryland,SUMMER FLOUNDER,64436,48.5,50863,37.9,1.2669
1995,New York,SUMMER FLOUNDER,201930,56,62569,37.9,3.2273
1997,Rhode Island,WINTER FLOUNDER,30054,59.8,"14,550",37.9,2.0656
2022,Maryland,BLACK SEA BASS,276519,35.1,"47,056",37.9,5.8764
1984,Massachusetts,SUMMER FLOUNDER,282438,54.8,65951,37.8,4.2825
2019,Virginia,SUMMER FLOUNDER,380460,45.2,170365,37.8,2.2332
1984,Delaware,BLACK SEA BASS,26428,72.8,"8,060",37.8,3.2789
2006,Virginia,SUMMER FLOUNDER,637872,29.7,274882,37.7,2.3205
1990,Massachusetts,Black Sea Bass,11921,39.9,"12,401",37.7,0.9613
1998,Maryland,BLACK SEA BASS,1026351,29.5,"69,070",37.7,14.8596
2016,Rhode Island,SUMMER FLOUNDER,515979,20.2,401687,37.6,1.2845
1991,South Carolina,SUMMER FLOUNDER,54810,65,151704,37.6,0.3613
1995,Delaware,YELLOWFIN TUNA,20763,60.9,11155,37.6,1.8613
2020,Maryland,YELLOWFIN TUNA,52047,36.9,110032,37.6,0.473
2019,New Jersey,YELLOWFIN TUNA,25740,404,37070,37.6,0.6944
1990,Georgia,Black Sea Bass,218271,45.5,"33,277",37.6,6.5592
1992,South Carolina,BLUEFISH,77389,37.2,55211,37.5,1.4017
2003,Massachusetts,WINTER FLOUNDER,68790,51.1,"65,367",37.5,1.0524
1998,Rhode Island,YELLOWFIN TUNA,4903,94.7,4476,37.5,1.0954
1982,SOUTH CAROLINA,FLORIDA POMPANO,135326,39.9,65856,37.5,2.0549
2006,Maryland,BLUEFISH,214919,55.8,131242,37.4,1.6376
2017,Maryland,SUMMER FLOUNDER,116161,57.3,33370,37.4,3.481
1986,Massachusetts,SUMMER FLOUNDER,84902,32.9,115912,37.4,0.7325
2001,Rhode Island,WINTER FLOUNDER,62525,44.3,"23,118",37.4,2.7046
2020,Georgia,BLUEFISH,73395,37.1,34810,37.3,2.1084
1993,Virginia,BLUEFISH,157394,38.7,136580,37.3,1.1524
1987,Georgia,COBIA,618,59.6,"3,572",37.3,0.173
1990,Massachusetts,SUMMER FLOUNDER,46049,71.1,67086,37.3,0.6864
2009,Virginia,SUMMER FLOUNDER,1054410,53.7,237805,37.3,4.4339
2001,New Jersey,WINTER FLOUNDER,178376,598,59951,37.3,2.9754
2000,Delaware,BLUEFISH,163991,35.2,145129,37.2,1.13
1989,Massachusetts,Black Sea Bass,25129,49.1,"9,970",37.2,2.5205
2008,Rhode Island,Black Sea Bass,143785,25.5,"87,721",37.2,1.6391
